iteration,params,strategy,train_loss,val_loss,train_accuracy,val_accuracy,training_time,total_training_time
20,"{'num_layers': 1, 'units_per_layer': 68, 'activation': 1, 'learning_rate': 0.00046787346980293, 'batch_size': 32, 'dropout_rate': 0.0762795652602972, 'l2_reg_strength': 0.000168460910496656}",bayesian,0.23022306660811107,0.3172059173583984,93.13333333333334,91.6,11.344620943069458,269.8327605724335
21,"{'num_layers': 1, 'units_per_layer': 87, 'activation': 1, 'learning_rate': 0.011307747050252247, 'batch_size': 64, 'dropout_rate': 0.32818569806752446, 'l2_reg_strength': 0.008599450924322445}",bayesian,0.32727563301722207,0.36133050894737245,90.66666666666667,90.0,9.9429612159729,279.7757217884064
22,"{'num_layers': 1, 'units_per_layer': 115, 'activation': 3, 'learning_rate': 0.006883229506187022, 'batch_size': 32, 'dropout_rate': 0.4563761198970146, 'l2_reg_strength': 0.0031245427413422885}",bayesian,0.32579791084925336,0.35038466715812683,90.46666666666667,91.2,11.9730806350708,291.7488024234772
23,"{'num_layers': 1, 'units_per_layer': 60, 'activation': 2, 'learning_rate': 0.0017041442453497385, 'batch_size': 32, 'dropout_rate': 0.5216434757831686, 'l2_reg_strength': 0.0005977866414146458}",bayesian,0.3424387477835019,0.3592291102409363,90.06666666666666,90.2,11.669925212860107,303.4187276363373
24,"{'num_layers': 1, 'units_per_layer': 114, 'activation': 3, 'learning_rate': 0.0007019769615169795, 'batch_size': 32, 'dropout_rate': 0.5396465845610663, 'l2_reg_strength': 1.0255654645390867e-07}",bayesian,0.37845332400004067,0.37877485847473147,89.83333333333333,89.2,12.164028644561768,315.58275628089905
25,"{'num_layers': 2, 'units_per_layer': 121, 'activation': 2, 'learning_rate': 0.009731079575857627, 'batch_size': 32, 'dropout_rate': 0.3372544210332941, 'l2_reg_strength': 0.0022893257070051754}",bayesian,0.2583366391658783,0.31042772889137266,92.06666666666666,90.8,12.662458658218384,328.24521493911743
26,"{'num_layers': 2, 'units_per_layer': 68, 'activation': 3, 'learning_rate': 0.0044126667997759625, 'batch_size': 32, 'dropout_rate': 0.41764680401521787, 'l2_reg_strength': 4.854298262051432e-05}",bayesian,0.6590443930625915,0.5967933020591736,80.66666666666667,83.8,11.4086332321167,339.65384817123413
27,"{'num_layers': 3, 'units_per_layer': 117, 'activation': 1, 'learning_rate': 0.041175322793855655, 'batch_size': 32, 'dropout_rate': 0.43195113345597885, 'l2_reg_strength': 0.0005422895930547268}",bayesian,0.5660242678324382,0.41507296180725095,82.73333333333333,87.6,13.279076099395752,352.9329242706299
28,"{'num_layers': 1, 'units_per_layer': 61, 'activation': 1, 'learning_rate': 0.0019817867560370877, 'batch_size': 32, 'dropout_rate': 0.5778673211462885, 'l2_reg_strength': 1.422588802116693e-06}",bayesian,0.7237281311353048,0.46909126043319704,75.5,87.0,11.621174335479736,364.5540986061096
29,"{'num_layers': 2, 'units_per_layer': 74, 'activation': 1, 'learning_rate': 0.007382753284290935, 'batch_size': 32, 'dropout_rate': 0.27625087303620866, 'l2_reg_strength': 1.5495605268347862e-05}",bayesian,0.3807193434238434,0.40341263556480406,88.03333333333333,86.8,12.445708990097046,376.99980759620667
30,"{'num_layers': 1, 'units_per_layer': 49, 'activation': 2, 'learning_rate': 0.13972111973586962, 'batch_size': 32, 'dropout_rate': 0.3582029814104431, 'l2_reg_strength': 1.566524468302768e-05}",bayesian,0.2983717408378919,0.3446389014720917,91.4,88.6,11.633504152297974,388.63331174850464
31,"{'num_layers': 3, 'units_per_layer': 85, 'activation': 1, 'learning_rate': 0.004382816900782013, 'batch_size': 64, 'dropout_rate': 0.31987375906276916, 'l2_reg_strength': 2.799681585978359e-06}",bayesian,0.4634833637873332,0.430500657081604,86.26666666666667,87.6,11.3819420337677,400.01525378227234
32,"{'num_layers': 1, 'units_per_layer': 54, 'activation': 3, 'learning_rate': 0.00141978350908809, 'batch_size': 32, 'dropout_rate': 0.5607749087809228, 'l2_reg_strength': 1.0107216903434788e-05}",bayesian,0.5525059690475463,0.47126563453674314,84.73333333333333,88.4,10.9241201877594,410.93937397003174
33,"{'num_layers': 4, 'units_per_layer': 56, 'activation': 2, 'learning_rate': 0.002710309954448943, 'batch_size': 128, 'dropout_rate': 0.25765057695510174, 'l2_reg_strength': 2.707644579660624e-07}",bayesian,0.4004534737666448,0.45148239850997923,88.96666666666667,86.8,9.777487516403198,420.71686148643494
34,"{'num_layers': 1, 'units_per_layer': 105, 'activation': 2, 'learning_rate': 0.1143852939837471, 'batch_size': 32, 'dropout_rate': 0.5736998733505018, 'l2_reg_strength': 1.0420253231416053e-05}",bayesian,0.327538658618927,0.33571613240242004,90.3,89.4,12.130359172821045,432.847220659256
35,"{'num_layers': 1, 'units_per_layer': 94, 'activation': 1, 'learning_rate': 0.00013439440803409512, 'batch_size': 64, 'dropout_rate': 0.48899801545114485, 'l2_reg_strength': 6.793702111490048e-07}",bayesian,0.39982687028249103,0.38879989099502565,88.03333333333333,90.0,13.870625257492065,446.71784591674805
36,"{'num_layers': 1, 'units_per_layer': 112, 'activation': 2, 'learning_rate': 0.00012434128538239155, 'batch_size': 16, 'dropout_rate': 0.17584042559583019, 'l2_reg_strength': 4.301024573514481e-06}",bayesian,0.14953481238087019,0.29558136069774626,95.6,90.2,14.899151086807251,461.6169970035553
37,"{'num_layers': 2, 'units_per_layer': 118, 'activation': 3, 'learning_rate': 0.007821171566152932, 'batch_size': 32, 'dropout_rate': 0.2604212769333374, 'l2_reg_strength': 0.0014736325883545785}",bayesian,0.30485924730698266,0.3508556544780731,91.9,90.0,14.283852577209473,475.90084958076477
38,"{'num_layers': 1, 'units_per_layer': 123, 'activation': 1, 'learning_rate': 0.10441918146600083, 'batch_size': 32, 'dropout_rate': 0.3554807469950894, 'l2_reg_strength': 2.97941914519362e-05}",bayesian,0.2792926163673401,0.32000519657135007,91.26666666666667,90.8,12.401780605316162,488.30263018608093
39,"{'num_layers': 2, 'units_per_layer': 118, 'activation': 1, 'learning_rate': 0.0036419257835455274, 'batch_size': 32, 'dropout_rate': 0.43682588825484436, 'l2_reg_strength': 3.509525019350511e-07}",bayesian,0.46343122474352516,0.4123488869667053,84.53333333333333,88.8,13.101499080657959,501.4041292667389
